"mtry" "min.node.size" "max.depth" "train_rmse" "valid_rmse"
"1" 90 5 10 0.519504356339338 0.508506877166713
"2" 900 5 10 0.479123770281695 0.470827609302602
"3" 2997 5 10 0.475685925039112 0.469257000872747
"4" 90 10 10 0.517969701964365 0.508426276383056
"5" 900 10 10 0.479031584558922 0.470554302768829
"6" 2997 10 10 0.475299744371215 0.469339302396801
"7" 90 20 10 0.52003848555753 0.511588493340059
"8" 900 20 10 0.47956119446581 0.471603217629185
"9" 2997 20 10 0.474033808272787 0.468922895827686
"10" 90 5 20 0.508687861334834 0.494099969401977
"11" 900 5 20 0.479799346494823 0.469573367296356
"12" 2997 5 20 0.477601302622027 0.469081452797996
"13" 90 10 20 0.508887987147148 0.496070515169463
"14" 900 10 20 0.4797723798328 0.46903850591046
"15" 2997 10 20 0.477717052428337 0.468351115033699
"16" 90 20 20 0.509032028440789 0.497848039146337
"17" 900 20 20 0.479157829234721 0.470201420012222
"18" 2997 20 20 0.475987446690754 0.46760710317379
"19" 90 5 50 0.511006978035283 0.49448379960804
"20" 900 5 50 0.481598785122028 0.469917277918399
"21" 2997 5 50 0.478947338527608 0.469668346771376
"22" 90 10 50 0.510771579132321 0.496499040789163
"23" 900 10 50 0.481568456736952 0.469815205404817
"24" 2997 10 50 0.47885890284482 0.468830495251406
"25" 90 20 50 0.510730318896136 0.497599065273149
"26" 900 20 50 0.480238225919728 0.470826951250276
"27" 2997 20 50 0.477349065890333 0.46804129737874
